,address,latitude,line,longitude
0,罗湖,22.532,1,114.119
1,国贸,22.54,1,114.119
2,老街,22.544,1,114.116
3,大剧院,22.542,1,114.108
4,科学馆,22.541,1,114.095
5,华强路,22.54,1,114.085
6,岗厦,22.535,1,114.068
7,会展中心,22.535,1,114.061
8,购物公园,22.534,1,114.053
9,香蜜湖,22.539,1,114.039
10,车公庙,22.536,1,114.029
11,竹子林,22.533,1,114.014
12,侨城东,22.533,1,113.996
13,华侨城,22.533,1,113.985
14,世界之窗,22.537,1,113.974
15,白石洲,22.54,1,113.967
16,高新园,22.54,1,113.954
17,深大,22.539,1,113.944
18,桃园,22.532,1,113.925
19,大新,22.532,1,113.915
20,鲤鱼门,22.532,1,113.903
21,前海湾,22.537,1,113.898
22,新安,22.548,1,113.895
23,宝安中心,22.555,1,113.887
24,宝体,22.561,1,113.881
25,坪洲,22.569,1,113.871
26,西乡,22.575,1,113.863
27,固戍,22.601,1,113.847
28,后瑞,22.629,1,113.836
29,机场东,22.647,1,113.823
30,赤湾,22.479,2,113.898
31,蛇口港,22.477,2,113.912
32,海上世界,22.485,2,113.915
33,水湾,22.488,2,113.92
34,东角头,22.486,2,113.931
35,湾厦,22.493,2,113.939
36,海月,22.5,2,113.938
37,登良,22.509,2,113.938
38,后海,22.519,2,113.942
39,科苑,22.527,2,113.947
40,红树湾,22.525,2,113.968
41,世界之窗,22.537,2,113.974
42,侨城北,22.544,2,113.989
43,深康,22.547,2,114.0
44,安托山,22.549,2,114.006
45,侨香,22.55,2,114.014
46,香蜜,22.553,2,114.024
47,香梅北,22.554,2,114.034
48,景田,22.554,2,114.043
49,莲花西,22.547,2,114.05
50,福田,22.54,2,114.055
51,市民中心,22.541,2,114.062
52,岗厦北,22.541,2,114.069
53,华强北,22.543,2,114.087
54,燕南,22.544,2,114.093
55,大剧院,22.542,2,114.108
56,湖贝,22.544,2,114.125
57,黄贝岭,22.546,2,114.136
58,新秀,22.548,2,114.149
59,益田,22.516,3,114.051
60,石厦,22.523,3,114.054
61,购物公园,22.534,3,114.053
62,福田,22.54,3,114.055
63,少年宫,22.549,3,114.061
64,莲花,22.549,3,114.068
65,华新,22.549,3,114.087
66,通新岭,22.549,3,114.096
67,红岭,22.548,3,114.105
68,老街,22.544,3,114.116
69,晒布,22.549,3,114.123
70,翠竹,22.556,3,114.13
71,田贝,22.567,3,114.129
72,水贝,22.574,3,114.125
73,草埔,22.584,3,114.116
74,布吉,22.602,3,114.122
75,木棉湾,22.607,3,114.13
76,大芬,22.614,3,114.138
77,丹竹头,22.62,3,114.148
78,六约,22.634,3,114.181
79,塘坑,22.639,3,114.193
80,横岗,22.649,3,114.209
81,永湖,22.659,3,114.218
82,荷坳,22.673,3,114.224
83,大运,22.686,3,114.228
84,爱联,22.698,3,114.234
85,吉祥,22.71,3,114.244
86,龙城广场,22.717,3,114.255
87,南联,22.722,3,114.266
88,双龙,22.729,3,114.278
89,福田口岸,22.516,4,114.069
90,福民,22.523,4,114.066
91,会展中心,22.535,4,114.061
92,市民中心,22.541,4,114.062
93,少年宫,22.549,4,114.062
94,莲花北,22.561,4,114.059
95,上梅林,22.568,4,114.06
96,民乐,22.594,4,114.049
97,白石龙,22.601,4,114.043
98,深圳北,22.611,4,114.03
99,红山,22.622,4,114.023
100,上塘,22.637,4,114.013
101,龙胜,22.645,4,114.012
102,龙华,22.652,4,114.022
103,清湖,22.664,4,114.036
104,前海湾,22.537,5,113.898
105,临海,22.544,5,113.889
106,宝华,22.55,5,113.885
107,宝安中心,22.555,5,113.887
108,翻身,22.56,5,113.893
109,灵芝,22.569,5,113.905
110,洪浪北,22.575,5,113.911
111,兴东,22.582,5,113.919
112,留仙洞,22.581,5,113.944
113,西丽,22.581,5,113.954
114,大学城,22.583,5,113.966
115,塘朗,22.59,5,114.0
116,长岭陂,22.599,5,114.01
117,深圳北,22.611,5,114.03
118,民治,22.618,5,114.041
119,五和,22.627,5,114.061
120,坂田,22.628,5,114.071
121,杨美,22.627,5,114.08
122,上水径,22.622,5,114.106
123,下水径,22.614,5,114.111
124,长龙,22.608,5,114.113
125,布吉,22.602,5,114.122
126,百鸽笼,22.595,5,114.13
127,布心,22.581,5,114.138
128,太安,22.573,5,114.137
129,怡景,22.556,5,114.14
130,黄贝岭,22.546,5,114.136
131,西丽湖,22.594,7,113.966
132,西丽,22.581,7,113.954
133,茶光,22.574,7,113.954
134,珠光,22.568,7,113.96
135,龙井,22.564,7,113.975
136,桃源,22.56,7,113.982
137,深云,22.557,7,113.994
138,安托山,22.549,7,114.006
139,农林,22.54,7,114.018
140,车公庙,22.536,7,114.029
141,上沙,22.525,7,114.035
142,沙尾,22.521,7,114.042
143,石厦,22.523,7,114.054
144,皇岗,22.523,7,114.06
145,福民,22.523,7,114.066
146,皇岗口岸,22.522,7,114.074
147,赤尾,22.532,7,114.084
148,华强南,22.537,7,114.087
149,华强北,22.543,7,114.087
150,华新,22.549,7,114.087
151,黄木岗,22.556,7,114.087
152,八卦岭,22.562,7,114.095
153,红岭北,22.562,7,114.104
154,笋岗,22.563,7,114.111
155,洪湖,22.566,7,114.122
156,田贝,22.567,7,114.129
157,太安,22.573,7,114.137
158,红树湾南,22.523,9,113.972
159,深湾,22.523,9,113.979
160,深圳湾公园,22.522,9,113.993
161,下沙,22.529,9,114.024
162,车公庙,22.536,9,114.029
163,香梅,22.545,9,114.04
164,景田,22.554,9,114.043
165,梅景,22.561,9,114.038
166,下梅林,22.566,9,114.042
167,梅村,22.568,9,114.052
168,上梅林,22.568,9,114.06
169,孖岭,22.568,9,114.068
170,银湖,22.568,9,114.09
171,泥岗,22.568,9,114.098
172,红岭北,22.562,9,114.104
173,园岭,22.556,9,114.104
174,红岭,22.548,9,114.105
175,红岭南,22.54,9,114.105
176,鹿丹村,22.536,9,114.108
177,人民南,22.535,9,114.118
178,向西村,22.54,9,114.126
179,文锦,22.543,9,114.131
180,福田,22.54,11,114.055
181,车公庙,22.536,11,114.029
182,红树湾南,22.523,11,113.972
183,后海,22.519,11,113.942
184,南山,22.524,11,113.924
185,前海湾,22.537,11,113.898
186,宝安,22.555,11,113.88
187,碧海湾,22.575,11,113.856
188,机场,22.624,11,113.814
189,机场北,22.651,11,113.798
190,福永,22.673,11,113.806
191,桥头,22.688,11,113.811
192,塘尾,22.702,11,113.818
193,马安山,22.7169,11,113.817
194,沙井,22.731,11,113.824
195,后亭,22.753,11,113.827
196,松岗,22.772,11,113.83
197,碧头,22.784,11,113.82
